gene_id,protein_size,annotation
b0720,427,Citrate synthase; Protein involved in tricarboxylic acid cycle and anaerobic respiration; Belongs to the citrate synthase family.
b0721,129,"Succinate dehydrogenase, membrane subunit, binds cytochrome b556; Membrane-anchoring subunit of succinate dehydrogenase (SDH); Belongs to the cytochrome b560 family."
b0722,115,"Succinate dehydrogenase, membrane subunit, binds cytochrome b556; Membrane-anchoring subunit of succinate dehydrogenase (SDH)."
b0723,588,"Succinate dehydrogenase, flavoprotein subunit; Two distinct, membrane-bound, FAD-containing enzymes are responsible for the catalysis of fumarate and succinate interconversion; the fumarate reductase is used in anaerobic growth, and the succinate dehydrogenase is used in aerobic growth."
b0724,238,"Succinate dehydrogenase, FeS subunit; Two distinct, membrane-bound, FAD-containing enzymes are responsible for the catalysis of fumarate and succinate interconversion; the fumarate reductase is used in anaerobic growth, and the succinate dehydrogenase is used in aerobic growth."
b0726,933,"2-oxoglutarate decarboxylase, thiamine triphosphate-binding; E1 component of the 2-oxoglutarate dehydrogenase (OGDH) complex which catalyzes the decarboxylation of 2-oxoglutarate, the first step in the conversion of 2-oxoglutarate to succinyl-CoA and CO(2)."
b0727,405,Dihydrolipoyltranssuccinase; E2 component of the 2-oxoglutarate dehydrogenase (OGDH) complex which catalyzes the second step in the conversion of 2- oxoglutarate to succinyl-CoA and CO(2).
b0728,388,"succinyl-CoA synthetase, beta subunit; Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit. Can use either ATP or GTP, but prefers ATP. It can also function in the other direction for anabolic purposes, and this may be particularly impor [...] "
b0729,289,"succinyl-CoA synthetase, NAD(P)-binding, alpha subunit; Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit. Can use either ATP or GTP, but prefers ATP. It can also function in the other direction for anabolic purposes, and this may be particularly importan [...] "
b0733,522,"Cytochrome d terminal oxidase, subunit I; A terminal oxidase that produces a proton motive force by the vectorial transfer of protons across the inner membrane. It is the component of the aerobic respiratory chain of E.coli that predominates when cells are grown at low aeration. Generates a proton motive force using protons and electrons from opposite sides of the membrane to generate H(2)O, transferring 1 proton/electron. Belongs to the cytochrome ubiquinol oxidase subunit 1 family."
b0734,379,"Cytochrome d terminal oxidase, subunit II; A terminal oxidase that produces a proton motive force by the vectorial transfer of protons across the inner membrane. It is the component of the aerobic respiratory chain of E.coli that predominates when cells are grown at low aeration. Generates a proton motive force using protons and electrons from opposite sides of the membrane to generate H(2)O, transferring 1 proton/electron."
b0755,250,Phosphoglyceromutase 1; Catalyzes the interconversion of 2-phosphoglycerate and 3- phosphoglycerate; Belongs to the phosphoglycerate mutase family. BPG- dependent PGAM subfamily.
b0767,331,6-phosphogluconolactonase; Catalyzes the hydrolysis of 6-phosphogluconolactone to 6- phosphogluconate.
b0809,240,Glutamine transporter subunit; Part of the binding-protein-dependent transport system for glutamine. Probably responsible for energy coupling to the transport system; Belongs to the ABC transporter superfamily.
b0810,219,Glutamine transporter subunit; Part of the binding-protein-dependent transport system for glutamine; probably responsible for the translocation of the substrate across the membrane.
b0811,248,Glutamine transporter subunit; Involved in a glutamine-transport system GlnHPQ.
b0875,231,Aquaporin Z; Channel that permits osmotically driven movement of water in both directions. It is involved in the osmoregulation and in the maintenance of cell turgor during volume expansion in rapidly growing cells. It mediates rapid entry or exit of water in response to abrupt changes in osmolarity.
b0902,246,"Pyruvate formate-lyase 1-activating enzyme; Activation of pyruvate formate-lyase 1 under anaerobic conditions by generation of an organic free radical, using S- adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine; Belongs to the organic radical-activating enzymes family."
b0903,760,Formate acetyltransferase 1; Protein involved in anaerobic respiration and cellular amino acid catabolic process.
b0904,285,Formate channel; Involved in the bidirectional transport of formate; Belongs to the FNT transporter (TC 2.A.44) family.
b0978,514,"Cytochrome bd-II oxidase, subunit I; A terminal oxidase that catalyzes quinol-dependent, Na(+)- independent oxygen uptake. Prefers menadiol over other quinols although ubiquinol was not tested. Generates a proton motive force using protons and electrons from opposite sides of the membrane to generate H(2)O, transferring 1 proton/electron."
b0979,378,"Cytochrome bd-II oxidase, subunit II; A terminal oxidase that catalyzes quinol-dependent, Na(+)- independent oxygen uptake. Prefers menadiol over other quinols although ubiquinol was not tested. Generates a proton motive force using protons and electrons from opposite sides of the membrane to generate H(2)O, transferring 1 proton/electron."
b1101,477,"Fused glucose-specific PTS enzymes: IIB component/IIC component; The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. The enzyme II complex composed of PtsG and Crr is involved in glucose transport. Also functions as a chemoreceptor monitoring the environment for changes in sugar concentration and an effector modulating the activity of the transcriptional repressor Mlc."
b1136,416,"Isocitrate dehydrogenase, specific for NADP+; Protein involved in tricarboxylic acid cycle and anaerobic respiration; Belongs to the isocitrate and isopropylmalate dehydrogenases family."
b1241,891,"Acetaldehyde dehydrogenase [acetylating]; This enzyme has three activities: ADH, ACDH, and PFL- deactivase. In aerobic conditions it acts as a hydrogen peroxide scavenger. The PFL deactivase activity catalyzes the quenching of the pyruvate-formate-lyase catalyst in an iron, NAD, and CoA dependent reaction; In the N-terminal section; belongs to the aldehyde dehydrogenase family."
b1276,891,"Aconitate hydratase 1; Catalyzes the reversible isomerization of citrate to isocitrate via cis-aconitate. The apo form of AcnA functions as a RNA- binding regulatory protein which plays a role as a maintenance or survival enzyme during nutritional or oxidative stress. During oxidative stress inactive AcnA apo-enzyme without iron sulfur clusters binds the acnA mRNA 3' UTRs (untranslated regions), stabilizes acnA mRNA and increases AcnA synthesis, thus mediating a post- transcriptional positive autoregulatory switch. AcnA also enhances the stability of the sodA transcript."
b1297,472,"Glutamate--putrescine ligase; Involved in the breakdown of putrescine via the biosynthesis of gamma-L-glutamylputrescine. It is able to use several diamines, spermidine and spermine. Absolutely essential to utilize putrescine as both nitrogen and carbon sources and to decrease the toxicity of putrescine, which can lead to inhibition of cell growth and protein synthesis; Belongs to the glutamine synthetase family."
b1380,329,"Fermentative D-lactate dehydrogenase, NAD-dependent; Fermentative lactate dehydrogenase; Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family."
b1478,336,Ethanol-active dehydrogenase/acetaldehyde-active reductase; Preferred specificity is towards 1-propanol; Belongs to the zinc-containing alcohol dehydrogenase family.
b1479,565,"Malate dehydrogenase, decarboxylating, NAD-requiring; NAD-linked malate dehydrogenase (malic enzyme); Protein involved in gluconeogenesis."
b1524,308,Putative glutaminase; Protein involved in cellular amino acid catabolic process.
b1602,462,"Pyridine nucleotide transhydrogenase, beta subunit; The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane; Belongs to the PNT beta subunit family."
b1603,510,"Pyridine nucleotide transhydrogenase, alpha subunit; The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane; Belongs to the AlaDH/PNT family."
b1611,467,"Fumarate hydratase (fumarase C),aerobic Class II; Involved in the TCA cycle. FumC seems to be a backup enzyme for FumA under conditions of iron limitation and oxidative stress. Catalyzes the stereospecific interconversion of fumarate to L-malate. Belongs to the class-II fumarase/aspartase family. Fumarase subfamily."
b1612,548,"Fumarate hydratase (fumarase A), aerobic Class I; Catalyzes the reversible hydration of fumarate to (S)-malate. Functions as an aerobic enzyme in the direction of malate formation as part of the citric acid cycle. Accounts for about 80% of the fumarase activity when the bacteria grow aerobically. To a lesser extent, also displays D-tartrate dehydratase activity in vitro, but is not able to convert (R)-malate, L-tartrate or meso-tartrate. Can also catalyze the isomerization of enol- to keto-oxaloacetate."
b1621,530,"Maltose and glucose-specific PTS enzyme IIB component and IIC component; The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. This system is involved in maltose transport. MalX can also recognize and transport glucose even though this sugar may not represent the natural substrate of the system."
b1676,470,"Pyruvate kinase I (formerly F), fructose stimulated; Protein involved in glycolysis, fermentation and anaerobic respiration."
b1702,792,Phosphoenolpyruvate synthase; Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate.
b1723,309,"6-phosphofructokinase II; Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis."
b1761,447,"Glutamate dehydrogenase, NADP-specific; Catalyzes the reversible oxidative deamination of glutamate to alpha-ketoglutarate and ammonia; Belongs to the Glu/Leu/Phe/Val dehydrogenases family."
b1773,278,Putative aldolase.
b1779,331,"Glyceraldehyde-3-phosphate dehydrogenase A; Catalyzes the oxidative phosphorylation of glyceraldehyde 3- phosphate (G3P) to 1,3-bisphosphoglycerate (BPG) using the cofactor NAD. The first reaction step involves the formation of a hemiacetal intermediate between G3P and a cysteine residue, and this hemiacetal intermediate is then oxidized to a thioester, with concomitant reduction of NAD to NADH. The reduced NADH is then exchanged with the second NAD, and the thioester is attacked by a nucleophilic inorganic phosphate to produce BPG."
b1812,453,"Aminodeoxychorismate synthase, subunit I; Part of a heterodimeric complex that catalyzes the two-step biosynthesis of 4-amino-4-deoxychorismate (ADC), a precursor of p- aminobenzoate (PABA) and tetrahydrofolate. In the first step, a glutamine amidotransferase (PabA) generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by aminodeoxychorismate synthase (PabB) to produce ADC. PabB, in the absence of PabA, can catalyze the formation of ADC in the presence of exogenous ammonia."
b1817,323,"Fused mannose-specific PTS enzymes: IIA component/IIB component; The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. The enzyme II ManXYZ PTS system is involved in mannose transport. Also functions as a receptor for bacterial chemotaxis and is required for infection of the cell by bacteriophage lambda where it most likely functions as a pore for penetration of lambda DNA."
b1818,266,"Mannose-specific enzyme IIC component of PTS; The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. The enzyme II ManXYZ PTS system is involved in mannose transport. Also functions as a receptor for bacterial chemotaxis and is required for infection of the cell by bacteriophage lambda where it most likely functions as a pore for penetration of lambda DNA."
b1819,283,"Mannose-specific enzyme IID component of PTS; The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. The enzyme II ManXYZ PTS system is involved in mannose transport. Also functions as a receptor for bacterial chemotaxis and is required for infection of the cell by bacteriophage lambda where it most likely functions as a pore for penetration of lambda DNA."
b1849,392,"Phosphoribosylglycinamide formyltransferase 2; Involved in the de novo purine biosynthesis. Catalyzes the transfer of formate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR). Formate is provided by PurU via hydrolysis of 10-formyl-tetrahydrofolate. PurT is also able to cleave acetyl phosphate and carbamoyl phosphate to produce ATP with acetate and carbamate, respectively; Belongs to the PurK/PurT family."
b1852,491,Glucose-6-phosphate 1-dehydrogenase; Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone; Belongs to the glucose-6-phosphate dehydrogenase family.
b1854,480,"Pyruvate kinase II, glucose stimulated; Protein involved in glycolysis, fermentation and anaerobic respiration."
b2029,468,"6-phosphogluconate dehydrogenase, decarboxylating; Catalyzes the oxidative decarboxylation of 6-phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH."
b2097,350,Fructose-bisphosphate aldolase class I; Protein involved in glycolysis; Belongs to the DeoC/FbaB aldolase family. FbaB subfamily.
b2133,571,"D-lactate dehydrogenase, FAD-binding, NADH independent; Catalyzes the oxidation of D-lactate to pyruvate. Electrons derived from D-lactate oxidation are transferred to the ubiquinone/cytochrome electron transfer chain, where they may be used to provide energy for the active transport of a variety of amino acids and sugars across the membrane."
b2276,485,"NADH:ubiquinone oxidoreductase, membrane subunit N; NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient; Belongs to the complex I subunit 2 family."
b2277,509,"NADH:ubiquinone oxidoreductase, membrane subunit M; NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient; Belongs to the complex I subunit 4 family."
b2278,613,"NADH:ubiquinone oxidoreductase, membrane subunit L; NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient; Belongs to the complex I subunit 5 family."
b2279,100,"NADH:ubiquinone oxidoreductase, membrane subunit K; NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient."
b2280,184,"NADH:ubiquinone oxidoreductase, membrane subunit J; NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient; Belongs to the complex I subunit 6 family."
b2281,180,"NADH:ubiquinone oxidoreductase, chain I; NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient."
b2282,325,"NADH:ubiquinone oxidoreductase, membrane subunit H; NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone."
b2283,908,"NADH:ubiquinone oxidoreductase, chain G; NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient."
b2284,445,"NADH:ubiquinone oxidoreductase, chain F; NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient."
b2285,166,"NADH:ubiquinone oxidoreductase, chain E; NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient."
b2286,596,"NADH:ubiquinone oxidoreductase, fused CD subunit; NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient; In the C-terminal section; belongs to the complex I 49 kDa subunit family."
b2287,220,"NADH:ubiquinone oxidoreductase, chain B; NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient."
b2288,147,"NADH:ubiquinone oxidoreductase, membrane subunit A; NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient; Belongs to the complex I subunit 3 family."
b2296,400,"Acetate kinase A and propionate kinase 2; Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction. During anaerobic growth of the organism, this enzyme is also involved in the synthesis of most of the ATP formed catabolically; Belongs to the acetokinase family."
b2297,714,Phosphate acetyltransferase; Involved in acetate metabolism. Catalyzes the reversible interconversion of acetyl-CoA and acetyl phosphate. The direction of the overall reaction changes depending on growth conditions. On minimal medium acetyl-CoA is generated. In rich medium acetyl-CoA is converted to acetate and allowing the cell to dump the excess of acetylation potential in exchange for energy in the form of ATP. In the N-terminal section; belongs to the CobB/CobQ family.
b2415,85,Phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr); General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. The phosphoryl group from phosphoenolpyruvate (PEP) is transferred to the phosphoryl carrier protein HPr by enzyme I. Phospho-HPr then transfers it to the PTS EIIA domain.
b2416,575,"PEP-protein phosphotransferase of PTS system (enzyme I); General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr). Can also use (Z)-3-fluoro-PEP (ZFPEP), (Z)-3-methyl- PEP (ZMePEP), (Z)-3-chloro-PEP (ZClPEP) and (E)-3-chloro-PEP (EClPEP) as alte [...] "
b2417,169,"Glucose-specific enzyme IIA component of PTS; The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. The enzyme II complex composed of PtsG and Crr is involved in glucose transport. The non-phosphorylated EIII-Glc is an inhibitor for uptake of certain sugars such as maltose, melibiose, lactose, and glycerol. Phosphorylated EIII-Glc, however, may be an activator for adenylate cyclase. It is an im [...] "
b2458,338,Phosphate acetyltransferase; Ethanolamine utilization; homolog of Salmonella acetyl/butyryl P transferase; Protein involved in amine catabolic process.
b2463,759,Malic enzyme: putative oxidoreductase/phosphotransacetylase; Putative multimodular enzyme; In the N-terminal section; belongs to the malic enzymes family.
b2464,316,Transaldolase A; Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway.
b2465,667,"Transketolase 2, thiamine triphosphate-binding; Catalyzes the reversible transfer of a two-carbon ketol group from sedoheptulose-7-phosphate to glyceraldehyde-3-phosphate, producing xylulose-5-phosphate and ribose-5-phosphate. Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate (By similarity)."
b2492,282,Putative formate transporter; Involved in the bidirectional transport of formate. Belongs to the FNT transporter (TC 2.A.44) family.
b2579,127,Autonomous glycyl radical cofactor; Acts as a radical domain for damaged PFL and possibly other radical proteins.
b2587,432,Alpha-ketoglutarate transporter; Uptake of alpha-ketoglutarate across the boundary membrane with the concomitant import of a cation (symport system). Belongs to the major facilitator superfamily. Metabolite:H+ Symporter (MHS) family (TC 2.A.1.6) family.
b2779,432,"Enolase; Catalyzes the reversible conversion of 2-phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis. It is also a component of the RNA degradosome, a multi-enzyme complex involved in RNA processing and messenger RNA degradation. Its interaction with RNase E is important for the turnover of mRNA, in particular on transcripts encoding enzymes of energy-generating metabolic routes. Its presence in the degradosome is required for the response to excess phosphosugar. May play a regulatory role in the degradation of specific RNAs,  [...] "
b2914,219,"Ribose 5-phosphate isomerase, constitutive; Involved in the first step of the non-oxidative branch of the pentose phosphate pathway. It catalyzes the reversible conversion of ribose-5-phosphate to ribulose 5-phosphate. Can also act on D-ribose-5- diphosphate and D-ribose-5-triphosphate as substrate."
b2925,359,"Fructose-bisphosphate aldolase, class II; Catalyzes the aldol condensation of dihydroxyacetone phosphate (DHAP or glycerone-phosphate) with glyceraldehyde 3-phosphate (G3P) to form fructose 1,6-bisphosphate (FBP) in gluconeogenesis and the reverse reaction in glycolysis."
b2926,387,Phosphoglycerate kinase; Protein involved in glycolysis and gluconeogenesis; Belongs to the phosphoglycerate kinase family.
b2935,663,"Transketolase 1, thiamine triphosphate-binding; Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate. Thus, catalyzes the reversible transfer of a two-carbon ketol group from sedoheptulose-7-phosphate to glyceraldehyde-3-phosphate, producing xylulose-5-phosphate and ribose- 5-phosphate."
b2975,560,Glycolate transporter; Transports glycolate across the membrane. Can also transport L-lactate and D-lactate. Seems to be driven by a proton motive force.
b2976,723,Malate synthase G; Involved in the glycolate utilization. Catalyzes the condensation and subsequent hydrolysis of acetyl-coenzyme A (acetyl- CoA) and glyoxylate to form malate and CoA.
b2987,499,Phosphate transporter; Low-affinity inorganic phosphate transport; Belongs to the inorganic phosphate transporter (PiT) (TC 2.A.20) family. Pit subfamily.
b3114,764,Pyruvate formate-lyase 4/2-ketobutyrate formate-lyase; Catalyzes the cleavage of 2-ketobutyrate to propionyl-CoA and formate. It can also use pyruvate as substrate. Belongs to the glycyl radical enzyme (GRE) family. PFL subfamily.
b3115,402,"Propionate kinase/acetate kinase C, anaerobic; Catalyzes the conversion of propionyl phosphate and ADP to propionate and ATP. It can also use acetyl phosphate as phosphate group acceptor; Belongs to the acetokinase family. TdcD subfamily."
b3212,1486,"Glutamate synthase, large subunit; Catalyzes the conversion of L-glutamine and 2-oxoglutarate into two molecules of L-glutamate."
b3213,472,"Glutamate synthase, 4Fe-4S protein, small subunit; Catalyzes the conversion of L-glutamine and 2-oxoglutarate into two molecules of L-glutamate."
b3236,312,"Malate dehydrogenase, NAD(P)-binding; Catalyzes the reversible oxidation of malate to oxaloacetate."
b3386,225,D-ribulose-5-phosphate 3-epimerase; Catalyzes the reversible epimerization of D-ribulose 5- phosphate to D-xylulose 5-phosphate.
b3403,540,Phosphoenolpyruvate carboxykinase [ATP]; Involved in the gluconeogenesis. Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP) through direct phosphoryl transfer between the nucleoside triphosphate and OAA. Belongs to the phosphoenolpyruvate carboxykinase (ATP) family.
b3493,499,"Phosphate transporter, low-affinity; Low-affinity inorganic phosphate transport. Can also transport arsenate; Belongs to the inorganic phosphate transporter (PiT) (TC 2.A.20) family. Pit subfamily."
b3528,428,"C4-dicarboxylic acid, orotate and citrate transporter; Responsible for the aerobic transport of the dicarboxylates fumarate, L- and D-malate and to a lesser extent succinate, from the periplasm across the inner membrane; Belongs to the dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family."
b3603,551,L-lactate permease; Transports L-lactate across the membrane. Can also transport D-lactate and glycolate. Seems to be driven by a proton motive force.
b3612,514,"Phosphoglycero mutase III, cofactor-independent; Catalyzes the interconversion of 2-phosphoglycerate (2-PGA) and 3-phosphoglycerate (3-PGA)."
b3731,139,"F1 sector of membrane-bound ATP synthase, epsilon subunit; Produces ATP from ADP in the presence of a proton gradient across the membrane; Belongs to the ATPase epsilon chain family."
b3732,460,"F1 sector of membrane-bound ATP synthase, beta subunit; Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits."
b3733,287,"F1 sector of membrane-bound ATP synthase, gamma subunit; Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex."
b3734,513,"F1 sector of membrane-bound ATP synthase, alpha subunit; Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit."
