p1_clean,p2_clean,neighborhood,neighborhood_transferred,fusion,cooccurence,homology,coexpression,coexpression_transferred,experiments,experiments_transferred,database,database_transferred,textmining,textmining_transferred,combined_score
b0115,b3114,0,0,0,0,0,0,102,0,0,900,0,273,98,933
b0115,b3403,0,0,0,0,0,0,523,0,0,800,0,391,156,944
b0115,b2297,0,106,0,0,0,108,127,0,0,900,0,527,313,972
b0115,b0351,0,0,0,0,0,0,0,0,0,900,0,120,0,908
b0115,b4014,0,0,0,0,0,0,0,0,0,900,0,389,132,942
b0115,b1241,0,47,0,0,0,0,75,0,65,900,0,387,205,950
b0115,b0116,399,65,899,773,0,704,402,848,487,900,253,993,105,999
b0116,b2296,0,61,0,0,0,49,46,0,0,0,0,781,100,801
b0116,b0726,0,84,0,216,0,222,221,78,347,900,321,917,139,998
b0116,b3870,0,61,0,0,0,52,68,0,0,800,0,106,96,834
b0116,b0115,399,65,899,773,0,704,402,848,487,900,253,993,105,999
b0116,b3951,0,0,0,0,0,0,0,0,0,900,0,106,47,907
b0116,b0118,0,0,0,0,0,369,143,0,0,0,0,470,104,708
b0116,b3213,0,0,0,0,0,0,0,0,66,800,0,142,44,826
b0116,b1676,0,48,0,0,0,0,73,0,0,500,0,608,100,815
b0116,b3114,0,0,0,0,0,0,0,0,0,900,0,460,47,944
b0116,b0729,0,62,0,0,0,289,87,0,79,540,0,540,88,860
b0116,b0720,0,60,0,0,0,91,70,0,95,500,0,862,103,942
b0116,b0727,0,65,446,735,0,276,402,232,487,900,253,964,105,999
b0116,b3236,0,84,0,0,0,132,217,0,85,0,0,600,138,757
b0116,b0903,0,0,0,0,0,0,0,0,0,900,0,738,47,972
b0116,b4015,0,0,0,0,0,50,0,0,0,0,0,769,104,786
b0116,b2463,0,188,0,0,0,72,381,0,0,0,0,386,289,759
b0116,b0485,0,0,0,0,0,0,0,0,0,800,0,0,0,800
b0116,b1380,0,0,0,0,0,0,0,0,0,0,0,731,98,746
b0116,b3212,0,64,0,0,0,0,0,0,0,800,0,200,318,884
b0116,b1136,0,0,0,0,0,356,67,0,64,500,0,731,133,919
b0116,b1761,0,62,0,0,0,0,219,0,0,800,0,265,133,889
b0116,b0114,384,95,0,715,0,787,220,113,0,900,0,974,126,999
b0116,b1854,0,48,0,0,0,0,73,0,0,500,0,478,100,754
b0116,b0728,0,84,0,0,0,276,230,0,82,540,0,518,139,884
b0116,b1524,0,0,0,0,0,0,0,0,0,800,0,0,0,800
b0116,b2297,0,81,0,0,0,46,147,0,0,0,0,688,142,763
b0116,b4014,0,0,0,0,0,0,0,0,0,500,0,455,88,729
b0118,b1136,0,87,0,0,0,386,557,0,0,900,0,802,285,995
b0118,b0721,0,61,0,0,0,274,347,0,0,0,0,781,285,917
b0118,b1276,0,98,0,0,0,81,0,0,0,900,0,959,153,996
b0118,b0724,0,54,0,0,0,504,222,0,0,0,0,777,146,917
b0118,b4015,0,0,0,0,0,113,0,0,0,900,0,731,63,974
b0118,b0726,0,0,0,0,0,675,664,0,0,0,0,687,201,969
b0118,b4122,0,196,0,0,0,0,234,0,0,0,0,645,315,830
b0118,b1611,0,0,0,0,0,93,0,0,0,0,0,600,286,718
b0118,b3403,0,0,0,0,0,71,65,0,0,0,0,690,0,707
b0118,b1702,0,0,0,0,0,72,346,0,0,0,0,504,208,729
b0118,b0116,0,0,0,0,0,369,143,0,0,0,0,470,104,708
b0118,b3236,0,110,0,0,0,399,772,0,0,0,0,596,286,958
b0118,b1612,0,196,0,0,0,335,234,0,0,0,0,876,315,958
b0118,b0728,0,81,0,0,0,643,524,0,0,0,0,815,285,975
b0118,b0727,0,0,0,0,0,635,617,0,0,0,0,775,139,969
b0118,b0720,0,66,0,0,0,471,533,0,0,900,0,880,155,997
b0118,b0723,0,44,0,0,0,637,404,0,0,0,0,774,142,952
b0118,b0729,0,59,0,0,0,679,126,0,0,0,0,623,119,896
b0351,b2976,0,0,0,0,0,48,0,0,0,900,0,119,0,908
b0351,b0115,0,0,0,0,0,0,0,0,0,900,0,120,0,908
b0351,b0903,0,0,0,0,0,0,0,0,0,900,0,801,0,979
b0351,b3951,0,0,0,0,0,0,0,0,0,900,0,267,0,923
b0351,b0728,0,46,0,0,0,0,0,0,0,800,0,46,0,802
b0351,b2458,0,0,0,0,0,45,0,0,0,900,0,786,0,977
b0351,b3114,0,0,0,0,0,0,0,0,0,900,0,785,0,977
b0351,b2296,0,0,0,0,0,0,0,0,0,0,0,731,136,757
b0351,b0729,0,0,0,0,0,43,0,0,0,800,0,0,0,800
b0351,b1478,0,0,0,0,0,74,0,0,0,500,0,519,0,757
b0351,b4014,0,0,0,0,0,0,0,0,0,900,0,206,0,917
b0351,b2297,0,0,0,0,0,0,0,0,0,900,0,786,69,978
b0351,b1241,0,60,0,0,0,0,0,0,0,900,0,905,0,990
b0356,b1478,0,0,0,144,652,0,0,0,274,900,0,118,135,943
b0356,b1241,0,96,0,0,0,0,104,0,619,900,0,458,313,985
b0451,b1761,0,109,0,0,0,0,58,0,0,0,0,645,286,758
b0451,b3212,0,261,0,564,0,0,165,0,0,0,0,458,462,907
b0451,b3870,0,98,0,0,0,334,216,0,0,0,0,899,155,952
b0451,b0875,0,0,0,0,0,0,50,0,79,0,0,893,145,909
b0474,b2415,0,0,0,0,0,147,43,0,0,800,0,460,0,900
b0474,b3919,0,111,0,195,0,236,102,0,0,0,0,381,286,732
b0474,b2779,0,87,0,213,0,110,72,0,455,0,0,154,284,748
b0474,b3733,0,0,0,0,0,222,701,0,0,0,0,327,210,859
b0474,b1136,0,0,0,0,0,69,54,0,78,0,0,906,283,935
b0474,b1676,0,79,0,0,0,79,62,0,63,900,0,169,143,931
b0474,b3236,0,0,0,0,0,66,94,0,63,0,0,906,283,936
b0474,b3734,0,0,0,0,0,339,406,0,0,0,0,199,286,745
b0474,b1854,0,79,0,0,0,66,62,0,63,900,0,107,143,925
b0474,b1611,0,0,0,0,0,0,0,0,0,0,0,945,280,958
b0485,b0116,0,0,0,0,0,0,0,0,0,800,0,0,0,800
b0485,b1524,0,0,0,175,817,0,0,0,0,900,0,197,0,927
b0485,b3870,0,59,0,0,0,0,0,0,0,900,0,387,132,943
b0485,b3213,0,0,0,0,0,0,0,0,0,900,0,55,0,901
b0485,b1761,0,0,0,0,0,0,0,0,0,900,0,45,137,910
b0485,b3212,0,0,0,0,0,0,0,0,0,900,0,204,351,943
b0720,b3212,0,95,0,0,0,51,0,0,0,800,0,529,357,938
b0720,b0724,0,76,0,0,0,635,462,0,130,0,0,774,133,961
b0720,b2286,0,85,0,0,0,207,576,0,143,0,0,46,315,787
b0720,b0721,0,98,0,177,0,273,399,0,0,0,0,858,152,951
b0720,b1761,0,0,0,0,0,55,288,0,66,800,0,505,147,934
b0720,b1136,0,98,0,0,0,752,746,0,68,0,0,936,146,996
b0720,b1852,0,0,0,0,0,0,69,0,0,0,0,731,155,769
b0720,b4015,0,0,0,0,0,457,69,0,0,0,0,891,155,947
b0720,b2976,0,0,0,0,0,76,300,0,92,900,0,780,133,986
b0720,b2463,0,193,0,0,0,247,163,0,65,800,0,681,314,973
b0720,b0116,0,60,0,0,0,91,70,0,95,500,0,862,103,942
b0720,b2297,0,62,0,0,0,0,163,0,0,0,0,808,314,882
b0720,b2935,0,0,0,0,0,119,63,0,0,0,0,737,133,786
b0720,b4014,0,0,0,0,0,273,300,0,92,900,0,813,133,990
b0720,b0114,0,0,0,0,0,0,156,0,0,500,0,731,155,891
b0720,b0728,0,98,0,0,0,579,351,0,618,0,0,861,155,986
b0720,b1779,0,60,0,0,0,265,58,0,0,0,0,781,133,853
b0720,b3962,0,60,0,0,0,352,70,0,95,0,0,711,103,836
b0720,b1276,0,76,0,257,0,637,603,84,164,900,91,905,133,999
b0720,b3213,0,0,0,0,0,46,0,0,0,800,0,382,81,877
b0720,b4025,0,50,0,0,0,0,95,0,77,0,0,810,156,849
b0720,b2296,0,0,2,0,0,0,221,0,0,0,0,805,133,856
b0720,b4122,0,192,0,0,0,0,54,0,0,800,0,754,313,969
b0720,b0726,0,98,0,287,0,646,527,0,66,0,0,873,155,986
b0720,b0118,0,66,0,0,0,471,533,0,0,900,0,880,155,997
b0720,b3951,0,0,0,0,0,0,0,0,0,800,0,0,94,811
b0720,b0115,0,76,0,0,0,0,259,0,186,900,0,530,133,972
b0720,b3870,0,0,0,0,0,54,55,0,0,0,0,735,133,767
b0720,b1241,0,86,0,0,0,52,217,0,81,0,0,623,167,758
b0720,b1702,0,0,0,0,0,69,70,0,0,0,0,740,156,784
b0720,b2029,0,0,0,0,0,68,106,0,68,0,0,623,150,705
b0720,b1611,0,0,0,0,0,184,342,0,79,800,0,621,157,961
b0720,b3403,0,49,0,0,0,55,70,0,0,900,0,782,155,981
b0720,b3956,0,0,0,0,0,68,0,0,0,800,0,931,154,987
b0720,b1676,0,72,0,0,0,0,49,109,64,0,0,624,133,704
b0720,b0723,0,76,0,153,0,703,350,0,130,0,0,829,133,974
b0720,b0729,0,63,0,0,0,489,218,0,106,0,0,830,105,937
b0720,b0722,0,98,0,0,0,483,242,0,0,0,0,386,140,779
b0720,b3114,0,0,0,0,0,0,0,0,0,800,0,456,94,892
b0720,b0727,0,76,0,224,0,574,259,0,186,0,0,754,133,949
b0720,b2926,0,0,0,0,0,66,72,0,0,0,0,645,156,705
b0720,b0903,0,0,0,0,0,66,0,0,0,800,0,600,94,923
b0720,b3236,0,98,0,0,0,520,530,0,277,900,0,811,156,996
b0720,b3734,0,0,0,0,0,51,526,0,0,0,105,644,157,857
b0720,b1479,0,79,0,0,0,70,0,0,65,800,0,530,145,920
b0720,b1612,0,192,0,0,0,675,54,0,0,800,0,781,313,990
b0721,b0720,0,98,0,177,0,273,399,0,0,0,0,858,152,951
b0721,b4153,0,98,0,0,0,0,657,0,622,900,597,473,151,997
b0721,b4154,0,98,0,0,0,0,615,0,622,900,639,329,151,996
b0721,b0727,373,98,0,0,0,426,342,0,0,0,0,753,155,945
b0721,b0728,239,158,0,0,0,439,805,0,0,900,0,871,284,999
b0721,b1612,0,197,0,0,0,742,66,0,0,650,0,626,315,978
b0721,b4152,0,0,0,0,0,0,0,0,0,900,0,458,65,944
b0721,b3236,0,158,0,0,0,157,143,0,0,0,0,480,286,732
b0721,b4151,0,0,0,0,0,0,0,0,0,900,0,523,138,955
b0721,b0729,239,84,0,0,0,406,398,0,0,900,0,768,137,993
b0721,b0723,773,154,0,494,0,987,615,952,622,900,639,996,151,999
b0721,b0722,773,154,0,769,0,999,0,952,620,900,0,931,281,999
b0721,b1611,0,0,0,0,0,278,355,0,0,650,0,527,286,934
b0721,b3528,0,0,0,0,0,662,0,0,0,0,0,146,66,706
b0721,b2283,0,0,0,0,0,109,737,0,0,0,0,286,284,864
b0721,b2287,0,0,0,0,0,383,680,0,0,0,0,0,140,815
b0721,b0726,388,157,0,258,0,751,697,0,0,0,0,757,285,993
b0721,b0118,0,61,0,0,0,274,347,0,0,0,0,781,285,917
b0721,b4122,0,197,0,0,0,0,66,0,0,650,0,649,315,925
b0721,b2285,0,0,0,0,0,273,847,0,0,0,0,268,282,933
b0721,b2284,0,0,0,0,0,167,511,0,0,0,0,330,231,762
b0721,b2286,0,42,0,0,0,290,919,0,140,0,0,271,318,970
b0721,b1136,0,0,0,0,0,289,147,0,0,0,0,505,286,756
b0721,b0734,0,0,0,0,0,0,0,0,0,500,0,478,143,756
b0721,b3962,0,81,0,165,0,670,74,0,0,0,0,55,137,764
b0721,b0724,732,155,0,561,0,983,657,952,622,900,597,996,151,999
b0721,b1276,0,51,0,0,0,72,90,0,0,0,0,782,156,825
b0722,b0724,732,155,0,311,0,999,525,817,279,900,0,811,154,999
b0722,b3962,0,67,0,218,0,747,75,0,0,0,0,0,103,818
b0722,b0721,773,154,0,769,0,999,0,952,620,900,0,931,281,999
b0722,b2286,0,0,0,0,0,386,801,0,0,0,0,163,0,888
b0722,b4122,0,197,0,0,0,0,74,0,0,650,0,272,313,846
b0722,b0726,388,157,0,170,0,833,243,0,0,0,0,529,285,976
b0722,b3528,0,0,0,0,0,835,69,0,0,0,0,0,47,840
b0722,b1611,0,0,0,0,0,249,0,0,0,650,0,274,207,828
b0722,b0729,239,84,0,0,0,670,133,0,0,900,0,500,202,989
b0722,b0723,773,154,0,327,0,999,468,0,381,900,0,809,154,999
b0722,b4151,0,0,0,0,0,0,0,0,0,900,0,386,205,946
b0722,b1612,0,197,0,0,0,754,74,0,0,650,0,501,313,972
b0722,b4152,0,0,0,0,0,0,0,0,0,900,0,202,176,928
b0722,b4153,0,98,0,0,0,0,525,0,279,900,0,325,154,978
b0722,b0720,0,98,0,0,0,483,242,0,0,0,0,386,140,779
b0722,b0728,239,158,0,0,0,684,532,0,0,900,0,589,286,996
b0722,b0727,373,98,0,0,0,696,136,0,0,0,0,387,141,903
b0722,b4154,0,98,0,0,0,0,468,0,381,900,0,313,154,978
b0723,b0734,0,0,0,0,0,0,0,0,0,500,0,385,133,710
b0723,b1136,0,60,0,0,0,655,147,0,0,0,0,620,157,895
b0723,b2286,0,109,0,0,0,680,885,0,161,0,0,324,317,984
b0723,b0721,773,154,0,494,0,987,615,952,622,900,639,996,151,999
b0723,b1276,0,61,0,0,0,112,361,0,93,0,0,836,133,915
b0723,b0724,732,107,209,775,0,999,598,958,616,900,331,996,133,999
b0723,b3962,0,62,0,0,0,746,82,0,90,0,0,77,100,796
b0723,b0118,0,44,0,0,0,637,404,0,0,0,0,774,142,952
b0723,b2463,0,98,0,0,0,283,220,0,0,0,0,327,313,724
b0723,b0726,388,98,117,0,0,869,623,0,90,0,0,876,155,996
b0723,b4015,0,0,0,0,0,171,54,0,0,500,0,458,144,784
b0723,b4122,0,195,0,0,0,0,222,0,0,650,0,451,313,902
b0723,b2285,0,0,0,0,0,437,391,0,92,0,0,386,151,808
b0723,b2284,0,55,0,0,0,431,761,0,107,0,0,458,147,934
b0723,b1611,0,98,352,0,0,184,536,44,91,650,0,530,157,962
b0723,b3403,0,0,0,0,0,54,94,0,0,0,0,680,146,734
b0723,b2287,0,48,0,0,0,530,385,0,90,0,0,0,136,744
b0723,b0733,0,0,0,0,0,0,0,0,0,500,0,473,133,751
b0723,b2283,0,60,0,0,0,314,524,0,109,0,0,285,158,797
b0723,b3236,0,98,0,206,0,274,388,0,94,0,0,624,157,882
b0723,b4152,0,98,0,0,0,0,54,0,0,900,0,454,0,947
b0723,b1612,0,195,0,0,0,754,222,0,0,650,0,864,313,993
b0723,b3734,0,0,0,0,0,66,573,0,0,0,0,527,157,819
b0723,b0727,373,76,109,0,0,846,754,0,88,0,0,833,133,996
b0723,b4154,0,0,0,146,856,0,0,0,0,900,0,128,0,919
b0723,b0728,239,98,68,363,0,747,663,0,111,900,0,812,156,999
b0723,b4153,0,76,47,772,0,0,598,0,616,900,331,610,133,999
b0723,b0720,0,76,0,153,0,703,350,0,130,0,0,829,133,974
b0723,b0722,773,154,0,327,0,999,468,0,381,900,0,809,154,999
b0723,b0729,239,65,162,426,0,752,372,44,90,900,0,805,106,998
b0723,b4151,0,98,0,0,0,0,42,0,0,900,0,500,67,952
b0724,b1276,0,59,0,0,0,115,405,0,132,0,0,702,133,863
b0724,b3733,0,46,0,0,0,54,716,0,90,0,0,56,158,771
b0724,b3962,0,64,0,0,0,751,74,0,92,0,0,0,100,791
b0724,b1136,0,60,0,0,0,393,417,0,82,0,0,510,157,844
b0724,b0721,732,155,0,561,0,983,657,952,622,900,597,996,151,999
b0724,b2286,0,181,0,0,0,467,912,0,199,0,0,202,317,979
b0724,b2285,0,0,0,0,0,461,756,0,166,0,0,274,153,920
b0724,b2284,0,0,0,0,0,381,644,0,111,0,0,204,156,844
b0724,b4122,0,195,0,0,0,0,73,0,0,650,0,478,313,889
b0724,b0118,0,54,0,0,0,504,222,0,0,0,0,777,146,917
b0724,b4015,0,0,0,0,0,184,54,0,0,500,0,386,139,758
b0724,b0726,406,99,107,0,0,871,529,0,90,0,0,827,156,994
b0724,b2287,0,55,0,0,0,496,528,0,134,0,0,0,133,800
b0724,b2283,0,0,0,0,0,289,660,0,161,0,0,289,157,856
b0724,b1611,0,98,0,0,0,201,342,0,106,650,0,622,157,939
b0724,b0722,732,155,0,311,0,999,525,817,279,900,0,811,154,999
b0724,b0729,246,65,149,370,0,775,294,0,114,900,0,809,105,998
b0724,b0723,732,107,209,775,0,999,598,958,616,900,331,996,133,999
b0724,b4151,0,98,0,0,0,0,68,0,0,900,0,478,66,951
b0724,b1612,0,195,0,0,0,804,73,0,0,650,0,743,313,988
b0724,b3734,0,42,0,0,0,50,523,0,91,0,0,386,158,748
b0724,b3236,0,98,0,205,0,273,397,0,94,0,0,523,157,852
b0724,b4152,0,98,0,0,0,0,144,0,0,900,0,322,0,940
b0724,b4153,0,0,0,190,796,0,0,0,0,900,0,153,0,925
b0724,b0720,0,76,0,0,0,635,462,0,130,0,0,774,133,961
b0724,b0728,246,98,62,324,0,744,533,0,90,900,0,806,156,998
b0724,b4154,0,96,85,769,0,0,598,0,616,900,331,527,133,998
b0724,b0727,390,76,100,0,0,818,396,0,94,0,0,861,133,991
b0726,b3403,0,0,0,0,0,67,471,0,0,0,0,453,282,780
b0726,b1611,0,100,0,162,0,131,248,0,0,360,0,518,286,860
b0726,b2283,0,0,0,0,0,662,249,0,70,0,0,205,64,792
b0726,b0116,0,84,0,216,0,222,221,78,347,900,321,917,139,998
b0726,b1612,0,0,0,0,0,680,101,0,0,0,0,730,315,939
b0726,b3734,0,63,0,0,0,141,522,0,123,0,0,145,285,745
b0726,b3236,0,158,0,0,0,333,159,0,81,0,0,563,286,833
b0726,b4153,0,98,27,0,0,0,529,0,90,0,0,274,156,719
b0726,b0720,0,98,0,287,0,646,527,0,66,0,0,873,155,986
b0726,b0728,397,157,64,289,0,988,728,0,90,540,0,881,284,999
b0726,b0727,737,99,899,770,0,999,648,843,620,900,566,963,153,999
b0726,b4154,0,98,44,0,0,0,594,0,90,0,0,272,155,758
b0726,b0114,0,0,0,238,0,50,0,0,0,0,0,731,285,842
b0726,b0722,388,157,0,170,0,833,243,0,0,0,0,529,285,976
b0726,b0723,388,98,117,0,0,869,623,0,90,0,0,876,155,996
b0726,b0729,397,106,153,184,0,967,477,0,98,540,0,817,139,999
b0726,b1136,0,0,0,0,0,667,349,0,0,900,0,732,285,995
b0726,b1761,0,0,0,0,0,0,89,0,89,800,0,451,283,922
b0726,b0721,388,157,0,258,0,751,697,0,0,0,0,757,285,993
b0726,b3213,0,0,0,0,0,52,47,0,0,800,0,166,0,829
b0726,b2286,0,0,0,0,0,698,520,0,126,0,0,135,316,911
b0726,b1276,0,45,0,266,0,97,222,0,118,0,0,764,155,888
b0726,b3212,0,0,0,0,0,46,0,0,0,800,0,165,378,887
b0726,b0724,406,99,107,0,0,871,529,0,90,0,0,827,156,994
b0726,b3962,0,84,0,223,0,357,231,0,347,0,321,0,139,827
b0726,b2463,0,193,0,0,0,334,60,0,0,0,0,286,316,708
b0726,b0115,0,98,87,434,0,47,648,0,620,0,566,621,153,988
b0726,b0118,0,0,0,0,0,675,664,0,0,0,0,687,201,969
b0726,b4015,0,0,0,0,0,334,0,0,0,0,0,600,286,793
b0726,b2284,0,0,0,162,0,701,149,0,70,0,0,269,281,871
b0726,b2285,0,0,0,0,0,698,127,0,0,0,0,261,64,793
b0727,b1276,0,0,0,0,0,81,126,0,84,0,0,702,133,775
b0727,b0724,390,76,100,0,0,818,396,0,94,0,0,861,133,991
b0727,b3962,0,65,285,365,0,202,402,0,487,0,253,0,105,906
b0727,b1136,0,0,0,0,0,411,470,0,0,500,0,610,157,939
b0727,b0721,373,98,0,0,0,426,342,0,0,0,0,753,155,945
b0727,b2286,0,0,0,0,0,454,343,0,215,0,0,266,66,771
b0727,b2285,0,0,0,0,0,634,120,0,89,0,0,385,69,801
b0727,b2284,0,0,0,0,0,646,126,0,80,0,0,386,158,826
b0727,b4122,0,0,0,0,0,0,49,0,0,0,0,645,313,747
b0727,b2282,0,0,0,0,0,560,54,0,0,0,0,386,0,722
b0727,b0118,0,0,0,0,0,635,617,0,0,0,0,775,139,969
b0727,b0726,737,99,899,770,0,999,648,843,620,900,566,963,153,999
b0727,b0116,0,65,446,735,0,276,402,232,487,900,253,964,105,999
b0727,b2283,0,0,0,0,0,680,245,0,89,0,0,275,111,832
b0727,b1611,0,0,0,0,0,71,261,0,89,360,0,391,158,746
b0727,b0722,373,98,0,0,0,696,136,0,0,0,0,387,141,903
b0727,b0114,0,98,0,182,0,55,348,0,0,0,0,544,151,783
b0727,b0729,413,100,221,167,0,999,365,0,88,900,0,926,108,999
b0727,b0723,373,76,109,0,0,846,754,0,88,0,0,833,133,996
b0727,b3236,0,98,0,0,0,374,114,0,90,0,0,509,157,767
b0727,b1612,0,0,0,0,0,369,49,0,0,0,0,543,313,786
b0727,b3734,0,0,0,0,0,276,458,0,91,0,0,322,158,759
b0727,b0728,413,100,300,212,0,999,390,53,129,900,0,917,154,999
b0727,b0720,0,76,0,224,0,574,259,0,186,0,0,754,133,949
b0728,b4151,0,0,0,0,0,0,0,0,0,900,0,90,212,922
b0728,b3114,0,0,0,0,0,0,0,0,0,800,0,0,0,800
b0728,b0722,239,158,0,0,0,684,532,0,0,900,0,589,286,996
b0728,b0729,773,154,900,775,0,999,680,995,618,900,308,983,143,999
b0728,b0723,239,98,68,363,0,747,663,0,111,900,0,812,156,999
b0728,b4153,0,98,16,416,0,0,391,0,90,900,0,147,156,972
b0728,b0720,0,98,0,0,0,579,351,0,618,0,0,861,155,986
b0728,b2458,0,76,0,0,0,0,44,0,0,800,0,0,134,826
b0728,b4154,0,98,26,339,0,0,378,0,111,900,0,203,156,971
b0728,b0727,413,100,300,212,0,999,390,53,129,900,0,917,154,999
b0728,b1612,0,197,0,0,0,534,74,0,0,0,0,640,315,898
b0728,b3734,0,47,0,0,0,134,520,0,148,0,0,324,286,799
b0728,b3236,0,158,0,0,0,399,365,0,93,0,0,620,286,902
b0728,b0903,0,0,0,0,0,0,0,100,0,800,0,95,0,822
b0728,b4152,0,0,0,0,0,0,0,0,0,900,0,69,0,902
b0728,b2283,0,49,0,0,0,420,390,0,90,0,0,205,210,762
b0728,b0116,0,84,0,0,0,276,230,0,82,540,0,518,139,884
b0728,b1241,0,84,0,0,0,0,74,0,81,800,0,323,204,896
b0728,b0351,0,46,0,0,0,0,0,0,0,800,0,46,0,802
b0728,b2297,0,106,0,0,0,0,44,0,0,800,0,260,294,894
b0728,b3403,0,0,0,161,0,68,343,0,0,0,0,386,282,732
b0728,b1611,0,62,0,0,0,95,363,0,70,360,0,731,285,920
b0728,b4014,0,0,0,0,0,113,49,0,0,800,0,197,141,862
b0728,b3732,0,46,0,0,0,73,443,0,0,0,0,285,286,702
