gene_id,annotated_keywords_uniprot,biological_process_gene_ontology,cellular_component_gene_ontology,local_network_cluster_string,molecular_function_gene_ontology,protein_domains_and_features_interpro,subcellular_localization_compartments
b1297,KW-0067: ATP-binding|KW-0547: Nucleotide-binding,GO:0019752: Carboxylic acid metabolic process|GO:0009084: Glutamine family amino acid biosynthetic process|GO:0008652: Cellular amino acid biosynthetic process|GO:0006807: Nitrogen compound metabolic process|GO:0006520: Cellular amino acid metabolic process|GO:0009064: Glutamine family amino acid metabolic process|GO:0046394: Carboxylic acid biosynthetic process|GO:0016053: Organic acid biosynthetic process|GO:0009987: Cellular process|GO:0044281: Small molecule metabolic process|GO:1901575: Organic substance catabolic process|GO:0044249: Cellular biosynthetic process|GO:0044238: Primary metabolic process|GO:1901576: Organic substance biosynthetic process|GO:0043436: Oxoacid metabolic process|GO:0008152: Metabolic process|GO:0006082: Organic acid metabolic process|GO:1901605: Alpha-amino acid metabolic process|GO:0044237: Cellular metabolic process|GO:0009056: Catabolic process|GO:0071704: Organic substance metabolic process|GO:1901607: Alpha-amino acid biosynthetic process|GO:0044283: Small molecule biosynthetic process|GO:1901565: Organonitrogen compound catabolic process|GO:1901564: Organonitrogen compound metabolic process|GO:0009058: Biosynthetic process|GO:0034641: Cellular nitrogen compound metabolic process|GO:1901566: Organonitrogen compound biosynthetic process,,,GO:0030554: Adenyl nucleotide binding|GO:0003824: Catalytic activity|GO:0000166: Nucleotide binding|GO:0097159: Organic cyclic compound binding|GO:0043168: Anion binding|GO:0017076: Purine nucleotide binding|GO:0035639: Purine ribonucleoside triphosphate binding|GO:0016874: Ligase activity|GO:0005524: ATP binding|GO:0097367: Carbohydrate derivative binding|GO:1901363: Heterocyclic compound binding|GO:1901265: Nucleoside phosphate binding|GO:0043167: Ion binding|GO:0036094: Small molecule binding|GO:0032559: Adenyl ribonucleotide binding|GO:0032555: Purine ribonucleotide binding|GO:0032553: Ribonucleotide binding|GO:0005488: Binding,,
b1380,KW-0560: Oxidoreductase|KW-0520: NAD,GO:0006113: Fermentation|GO:0015980: Energy derivation by oxidation of organic compounds|GO:0006950: Response to stress|GO:0008152: Metabolic process|GO:0009628: Response to abiotic stimulus|GO:0006091: Generation of precursor metabolites and energy|GO:0009987: Cellular process|GO:0050896: Response to stimulus|GO:0044237: Cellular metabolic process,GO:0005737: Cytoplasm|GO:0005829: Cytosol|GO:0005622: Intracellular anatomical structure|GO:0110165: Cellular anatomical entity,"CL:2010: Mixed, incl. Carbon metabolism, and Fatty acid metabolic process|CL:2016: Pyruvate metabolism, and Glyoxylate bypass|CL:2018: Mixed, incl. Phosphate acetyl/butaryl transferase, and Acetokinase family|CL:2013: Carbon metabolism, and Formate C-acetyltransferase activity|CL:2014: Citrate cycle (TCA cycle), and Pyruvate metabolism|CL:2011: Carbon metabolism, and Oxidative phosphorylation|CL:2012: Carbon metabolism, and Pyruvate metabolism","GO:0003824: Catalytic activity|GO:0016614: Oxidoreductase activity, acting on CH-OH group of donors|GO:0000166: Nucleotide binding|GO:0097159: Organic cyclic compound binding|GO:0043168: Anion binding|GO:0016616: Oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor|GO:1901363: Heterocyclic compound binding|GO:1901265: Nucleoside phosphate binding|GO:0043167: Ion binding|GO:0036094: Small molecule binding|GO:0016491: Oxidoreductase activity|GO:0051287: NAD binding|GO:0005488: Binding",IPR036291: NAD(P)-binding domain superfamily,GOCC:0005622: Intracellular|GOCC:0005737: Cytoplasm|GOCC:0005829: Cytosol|GOCC:0110165: Cellular anatomical entity
b1478,KW-0479: Metal-binding|KW-0560: Oxidoreductase|KW-0520: NAD,GO:0009056: Catabolic process|GO:0006950: Response to stress|GO:0051716: Cellular response to stimulus|GO:0008152: Metabolic process|GO:0071704: Organic substance metabolic process|GO:0006974: Cellular response to DNA damage stimulus|GO:0009987: Cellular process|GO:0033554: Cellular response to stress|GO:0050896: Response to stimulus|GO:0006081: Cellular aldehyde metabolic process|GO:1901575: Organic substance catabolic process|GO:0044248: Cellular catabolic process|GO:0044237: Cellular metabolic process,,,"GO:0003824: Catalytic activity|GO:0016614: Oxidoreductase activity, acting on CH-OH group of donors|GO:0046872: Metal ion binding|GO:0016616: Oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor|GO:0043167: Ion binding|GO:0046914: Transition metal ion binding|GO:0016491: Oxidoreductase activity|GO:0043169: Cation binding|GO:0005488: Binding|GO:0008270: Zinc ion binding",IPR036291: NAD(P)-binding domain superfamily,
b1479,KW-0479: Metal-binding|KW-0560: Oxidoreductase|KW-0520: NAD,GO:0019752: Carboxylic acid metabolic process|GO:0043648: Dicarboxylic acid metabolic process|GO:0032787: Monocarboxylic acid metabolic process|GO:0005975: Carbohydrate metabolic process|GO:0019319: Hexose biosynthetic process|GO:0009987: Cellular process|GO:0016051: Carbohydrate biosynthetic process|GO:0044281: Small molecule metabolic process|GO:0044238: Primary metabolic process|GO:1901576: Organic substance biosynthetic process|GO:0043436: Oxoacid metabolic process|GO:0008152: Metabolic process|GO:0006082: Organic acid metabolic process|GO:0006094: Gluconeogenesis|GO:0006090: Pyruvate metabolic process|GO:0019318: Hexose metabolic process|GO:0044237: Cellular metabolic process|GO:0071704: Organic substance metabolic process|GO:0044283: Small molecule biosynthetic process|GO:0046364: Monosaccharide biosynthetic process|GO:0006006: Glucose metabolic process|GO:0009058: Biosynthetic process|GO:0005996: Monosaccharide metabolic process,GO:0005737: Cytoplasm|GO:0005829: Cytosol|GO:0005622: Intracellular anatomical structure|GO:0110165: Cellular anatomical entity,"CL:2010: Mixed, incl. Carbon metabolism, and Fatty acid metabolic process|CL:2062: Citrate cycle (TCA cycle)|CL:2013: Carbon metabolism, and Formate C-acetyltransferase activity|CL:2014: Citrate cycle (TCA cycle), and Pyruvate metabolism|CL:2011: Carbon metabolism, and Oxidative phosphorylation|CL:2012: Carbon metabolism, and Pyruvate metabolism","GO:0016830: Carbon-carbon lyase activity|GO:0003824: Catalytic activity|GO:0016614: Oxidoreductase activity, acting on CH-OH group of donors|GO:0000166: Nucleotide binding|GO:0097159: Organic cyclic compound binding|GO:0046872: Metal ion binding|GO:0016616: Oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor|GO:1901363: Heterocyclic compound binding|GO:0043169: Cation binding|GO:1901265: Nucleoside phosphate binding|GO:0043167: Ion binding|GO:0036094: Small molecule binding|GO:0016491: Oxidoreductase activity|GO:0051287: NAD binding|GO:0016829: Lyase activity|GO:0005488: Binding",IPR036291: NAD(P)-binding domain superfamily,GOCC:0005622: Intracellular|GOCC:0005737: Cytoplasm|GOCC:0005829: Cytosol|GOCC:0110165: Cellular anatomical entity
b1524,,GO:0019752: Carboxylic acid metabolic process|GO:0043648: Dicarboxylic acid metabolic process|GO:0009084: Glutamine family amino acid biosynthetic process|GO:0008652: Cellular amino acid biosynthetic process|GO:0006807: Nitrogen compound metabolic process|GO:0044248: Cellular catabolic process|GO:0006520: Cellular amino acid metabolic process|GO:0009064: Glutamine family amino acid metabolic process|GO:0046394: Carboxylic acid biosynthetic process|GO:0016053: Organic acid biosynthetic process|GO:0044282: Small molecule catabolic process|GO:0016054: Organic acid catabolic process|GO:0009987: Cellular process|GO:0044281: Small molecule metabolic process|GO:0050789: Regulation of biological process|GO:1901575: Organic substance catabolic process|GO:0009063: Cellular amino acid catabolic process|GO:0046395: Carboxylic acid catabolic process|GO:0044249: Cellular biosynthetic process|GO:0044238: Primary metabolic process|GO:1901576: Organic substance biosynthetic process|GO:0043436: Oxoacid metabolic process|GO:0008152: Metabolic process|GO:0006082: Organic acid metabolic process|GO:0065007: Biological regulation|GO:1901606: Alpha-amino acid catabolic process|GO:1901605: Alpha-amino acid metabolic process|GO:0044237: Cellular metabolic process|GO:0009056: Catabolic process|GO:0071704: Organic substance metabolic process|GO:1901607: Alpha-amino acid biosynthetic process|GO:0044283: Small molecule biosynthetic process|GO:1901565: Organonitrogen compound catabolic process|GO:1901564: Organonitrogen compound metabolic process|GO:0009058: Biosynthetic process|GO:1901566: Organonitrogen compound biosynthetic process,,"CL:1426: Amino-acid biosynthesis, and Arginine biosynthesis",GO:0003824: Catalytic activity,,
b1602,KW-0812: Transmembrane|KW-0472: Membrane|KW-0997: Cell inner membrane|KW-1003: Cell membrane|KW-0521: NADP|KW-0520: NAD|KW-1133: Transmembrane helix|KW-1278: Translocase,GO:0098660: Inorganic ion transmembrane transport|GO:0034220: Ion transmembrane transport|GO:0051179: Localization|GO:1902600: Proton transmembrane transport|GO:0008152: Metabolic process|GO:0055085: Transmembrane transport|GO:0098655: Cation transmembrane transport|GO:0006091: Generation of precursor metabolites and energy|GO:0006740: NADPH regeneration|GO:0006812: Cation transport|GO:0098662: Inorganic cation transmembrane transport|GO:0009987: Cellular process|GO:0051234: Establishment of localization|GO:0006739: NADP metabolic process|GO:0006810: Transport|GO:0006811: Ion transport|GO:0044237: Cellular metabolic process,GO:0005887: Integral component of plasma membrane|GO:0071944: Cell periphery|GO:0005886: Plasma membrane|GO:0031226: Intrinsic component of plasma membrane|GO:0016020: Membrane|GO:0110165: Cellular anatomical entity|GO:0032991: Protein-containing complex|GO:0016021: Integral component of membrane|GO:0031224: Intrinsic component of membrane,,"GO:0003824: Catalytic activity|GO:0000166: Nucleotide binding|GO:0097159: Organic cyclic compound binding|GO:1901363: Heterocyclic compound binding|GO:1901265: Nucleoside phosphate binding|GO:0016651: Oxidoreductase activity, acting on NAD(P)H|GO:0036094: Small molecule binding|GO:0016491: Oxidoreductase activity|GO:0005488: Binding",,GOCC:0071944: Cell periphery|GOCC:0110165: Cellular anatomical entity|GOCC:0032991: Protein-containing complex|GOCC:0016021: Integral component of membrane|GOCC:0031224: Intrinsic component of membrane|GOCC:0005886: Plasma membrane|GOCC:0031226: Intrinsic component of plasma membrane|GOCC:0005622: Intracellular|GOCC:0005887: Integral component of plasma membrane|GOCC:0016020: Membrane
b1603,KW-0812: Transmembrane|KW-0472: Membrane|KW-0997: Cell inner membrane|KW-1003: Cell membrane|KW-0521: NADP|KW-0547: Nucleotide-binding|KW-0520: NAD|KW-1133: Transmembrane helix|KW-1278: Translocase,GO:0098660: Inorganic ion transmembrane transport|GO:0034220: Ion transmembrane transport|GO:0051179: Localization|GO:1902600: Proton transmembrane transport|GO:0008152: Metabolic process|GO:0055085: Transmembrane transport|GO:0098655: Cation transmembrane transport|GO:0006091: Generation of precursor metabolites and energy|GO:0006740: NADPH regeneration|GO:0006812: Cation transport|GO:0098662: Inorganic cation transmembrane transport|GO:0009987: Cellular process|GO:0051234: Establishment of localization|GO:0006739: NADP metabolic process|GO:0006810: Transport|GO:0006811: Ion transport|GO:0044237: Cellular metabolic process,GO:0005887: Integral component of plasma membrane|GO:0071944: Cell periphery|GO:0005886: Plasma membrane|GO:0031226: Intrinsic component of plasma membrane|GO:0016020: Membrane|GO:0110165: Cellular anatomical entity|GO:0032991: Protein-containing complex|GO:0016021: Integral component of membrane|GO:0031224: Intrinsic component of membrane,,"GO:0003824: Catalytic activity|GO:0000166: Nucleotide binding|GO:0097159: Organic cyclic compound binding|GO:1901363: Heterocyclic compound binding|GO:0005515: Protein binding|GO:1901265: Nucleoside phosphate binding|GO:0016651: Oxidoreductase activity, acting on NAD(P)H|GO:0036094: Small molecule binding|GO:0016491: Oxidoreductase activity|GO:0051287: NAD binding|GO:0005488: Binding",IPR036291: NAD(P)-binding domain superfamily,GOCC:0071944: Cell periphery|GOCC:0110165: Cellular anatomical entity|GOCC:0032991: Protein-containing complex|GOCC:0016021: Integral component of membrane|GOCC:0031224: Intrinsic component of membrane|GOCC:0005886: Plasma membrane|GOCC:0031226: Intrinsic component of plasma membrane|GOCC:0005622: Intracellular|GOCC:0005887: Integral component of plasma membrane|GOCC:0016020: Membrane
b1611,KW-0816: Tricarboxylic acid cycle|KW-0021: Allosteric enzyme|KW-0963: Cytoplasm|KW-0456: Lyase,GO:0044238: Primary metabolic process|GO:0006979: Response to oxidative stress|GO:0019752: Carboxylic acid metabolic process|GO:0043436: Oxoacid metabolic process|GO:0015980: Energy derivation by oxidation of organic compounds|GO:0006950: Response to stress|GO:0008152: Metabolic process|GO:0043648: Dicarboxylic acid metabolic process|GO:0006082: Organic acid metabolic process|GO:0006091: Generation of precursor metabolites and energy|GO:0071704: Organic substance metabolic process|GO:0009060: Aerobic respiration|GO:0009987: Cellular process|GO:0050896: Response to stimulus|GO:0044281: Small molecule metabolic process|GO:0006099: Tricarboxylic acid cycle|GO:0045333: Cellular respiration|GO:0044237: Cellular metabolic process,GO:0005737: Cytoplasm|GO:0032991: Protein-containing complex|GO:0005622: Intracellular anatomical structure|GO:0110165: Cellular anatomical entity,"CL:2010: Mixed, incl. Carbon metabolism, and Fatty acid metabolic process|CL:2062: Citrate cycle (TCA cycle)|CL:2013: Carbon metabolism, and Formate C-acetyltransferase activity|CL:2014: Citrate cycle (TCA cycle), and Pyruvate metabolism|CL:2011: Carbon metabolism, and Oxidative phosphorylation|CL:2012: Carbon metabolism, and Pyruvate metabolism",GO:0003824: Catalytic activity|GO:0005515: Protein binding|GO:0042802: Identical protein binding|GO:0016829: Lyase activity|GO:0005488: Binding,,
b1612,KW-0408: Iron|KW-0456: Lyase|KW-0816: Tricarboxylic acid cycle|KW-0004: 4Fe-4S|KW-0479: Metal-binding|KW-0413: Isomerase|KW-0411: Iron-sulfur,GO:0044238: Primary metabolic process|GO:0015980: Energy derivation by oxidation of organic compounds|GO:0008152: Metabolic process|GO:0006091: Generation of precursor metabolites and energy|GO:0009060: Aerobic respiration|GO:0009987: Cellular process|GO:0006099: Tricarboxylic acid cycle|GO:0045333: Cellular respiration|GO:0044237: Cellular metabolic process,GO:0005737: Cytoplasm|GO:0005829: Cytosol|GO:0005622: Intracellular anatomical structure|GO:0110165: Cellular anatomical entity,"CL:2010: Mixed, incl. Carbon metabolism, and Fatty acid metabolic process|CL:2062: Citrate cycle (TCA cycle)|CL:2013: Carbon metabolism, and Formate C-acetyltransferase activity|CL:2014: Citrate cycle (TCA cycle), and Pyruvate metabolism|CL:2011: Carbon metabolism, and Oxidative phosphorylation|CL:2012: Carbon metabolism, and Pyruvate metabolism","GO:0051539: 4 iron, 4 sulfur cluster binding|GO:0003824: Catalytic activity|GO:0051540: Metal cluster binding|GO:0046872: Metal ion binding|GO:0043169: Cation binding|GO:0005515: Protein binding|GO:0043167: Ion binding|GO:0016853: Isomerase activity|GO:0051536: Iron-sulfur cluster binding|GO:0042802: Identical protein binding|GO:0016829: Lyase activity|GO:0005488: Binding",,
b1621,KW-0812: Transmembrane|KW-0472: Membrane|KW-0762: Sugar transport|KW-0997: Cell inner membrane|KW-1003: Cell membrane|KW-0813: Transport|KW-0418: Kinase|KW-0598: Phosphotransferase system|KW-1133: Transmembrane helix|KW-0808: Transferase,GO:0051179: Localization|GO:0034219: Carbohydrate transmembrane transport|GO:0006796: Phosphate-containing compound metabolic process|GO:0008152: Metabolic process|GO:0009401: Phosphoenolpyruvate-dependent sugar phosphotransferase system|GO:0016310: Phosphorylation|GO:0055085: Transmembrane transport|GO:0071702: Organic substance transport|GO:0098739: Import across plasma membrane|GO:0009987: Cellular process|GO:0051234: Establishment of localization|GO:0098657: Import into cell|GO:0098704: Carbohydrate import across plasma membrane|GO:0008643: Carbohydrate transport|GO:0006810: Transport|GO:0006793: Phosphorus metabolic process|GO:0044237: Cellular metabolic process,GO:0005887: Integral component of plasma membrane|GO:0071944: Cell periphery|GO:0005886: Plasma membrane|GO:0031226: Intrinsic component of plasma membrane|GO:0016020: Membrane|GO:0110165: Cellular anatomical entity|GO:0016021: Integral component of membrane|GO:0031224: Intrinsic component of membrane,,"GO:0003824: Catalytic activity|GO:0022857: Transmembrane transporter activity|GO:0016301: Kinase activity|GO:0005215: Transporter activity|GO:0022804: Active transmembrane transporter activity|GO:0016740: Transferase activity|GO:0016773: Phosphotransferase activity, alcohol group as acceptor|GO:0016772: Transferase activity, transferring phosphorus-containing groups",,GOCC:0016020: Membrane|GOCC:0071944: Cell periphery|GOCC:0005886: Plasma membrane|GOCC:0110165: Cellular anatomical entity
b1676,KW-0021: Allosteric enzyme|KW-0067: ATP-binding|KW-0324: Glycolysis|KW-0418: Kinase|KW-0479: Metal-binding|KW-0547: Nucleotide-binding|KW-0007: Acetylation|KW-0460: Magnesium|KW-0808: Transferase,GO:0019752: Carboxylic acid metabolic process|GO:0009150: Purine ribonucleotide metabolic process|GO:0006950: Response to stress|GO:0009135: Purine nucleoside diphosphate metabolic process|GO:0032787: Monocarboxylic acid metabolic process|GO:0055086: Nucleobase-containing small molecule metabolic process|GO:0072521: Purine-containing compound metabolic process|GO:0009132: Nucleoside diphosphate metabolic process|GO:0006807: Nitrogen compound metabolic process|GO:0019637: Organophosphate metabolic process|GO:0016052: Carbohydrate catabolic process|GO:0046031: ADP metabolic process|GO:0006793: Phosphorus metabolic process|GO:0005975: Carbohydrate metabolic process|GO:0009199: Ribonucleoside triphosphate metabolic process|GO:0009141: Nucleoside triphosphate metabolic process|GO:0006139: Nucleobase-containing compound metabolic process|GO:0006796: Phosphate-containing compound metabolic process|GO:0016310: Phosphorylation|GO:0006091: Generation of precursor metabolites and energy|GO:0009628: Response to abiotic stimulus|GO:0009144: Purine nucleoside triphosphate metabolic process|GO:0006757: ATP generation from ADP|GO:0009987: Cellular process|GO:0046939: Nucleotide phosphorylation|GO:0050896: Response to stimulus|GO:0044281: Small molecule metabolic process|GO:0006165: Nucleoside diphosphate phosphorylation|GO:1901575: Organic substance catabolic process|GO:0046483: Heterocycle metabolic process|GO:0044238: Primary metabolic process|GO:0009205: Purine ribonucleoside triphosphate metabolic process|GO:0043436: Oxoacid metabolic process|GO:0008152: Metabolic process|GO:0006082: Organic acid metabolic process|GO:1901360: Organic cyclic compound metabolic process|GO:0006096: Glycolytic process|GO:0009117: Nucleotide metabolic process|GO:0006753: Nucleoside phosphate metabolic process|GO:0006090: Pyruvate metabolic process|GO:0046034: ATP metabolic process|GO:0044237: Cellular metabolic process|GO:0006163: Purine nucleotide metabolic process|GO:0009179: Purine ribonucleoside diphosphate metabolic process|GO:0009185: Ribonucleoside diphosphate metabolic process|GO:0009056: Catabolic process|GO:1901135: Carbohydrate derivative metabolic process|GO:0019693: Ribose phosphate metabolic process|GO:0071704: Organic substance metabolic process|GO:1901564: Organonitrogen compound metabolic process|GO:0006725: Cellular aromatic compound metabolic process|GO:0034641: Cellular nitrogen compound metabolic process|GO:0009259: Ribonucleotide metabolic process,GO:0005737: Cytoplasm|GO:0016020: Membrane|GO:0005829: Cytosol|GO:0005622: Intracellular anatomical structure|GO:0110165: Cellular anatomical entity|GO:0032991: Protein-containing complex|GO:1902494: Catalytic complex,"CL:2010: Mixed, incl. Carbon metabolism, and Fatty acid metabolic process|CL:2112: Gluconeogenesis, and Glycolysis|CL:2013: Carbon metabolism, and Formate C-acetyltransferase activity|CL:2111: Pentose phosphate pathway, and Gluconeogenesis|CL:2011: Carbon metabolism, and Oxidative phosphorylation|CL:2109: Pentose phosphate pathway, and Glycolysis|CL:2012: Carbon metabolism, and Pyruvate metabolism|CL:2114: Glycolysis","GO:0000166: Nucleotide binding|GO:0046872: Metal ion binding|GO:0035639: Purine ribonucleoside triphosphate binding|GO:1901265: Nucleoside phosphate binding|GO:0032555: Purine ribonucleotide binding|GO:0030554: Adenyl nucleotide binding|GO:0003824: Catalytic activity|GO:0016301: Kinase activity|GO:0097159: Organic cyclic compound binding|GO:0043168: Anion binding|GO:0005524: ATP binding|GO:0016740: Transferase activity|GO:0016773: Phosphotransferase activity, alcohol group as acceptor|GO:0016772: Transferase activity, transferring phosphorus-containing groups|GO:0017076: Purine nucleotide binding|GO:0097367: Carbohydrate derivative binding|GO:0005515: Protein binding|GO:0032559: Adenyl ribonucleotide binding|GO:0036094: Small molecule binding|GO:0042802: Identical protein binding|GO:0043169: Cation binding|GO:0005488: Binding|GO:1901363: Heterocyclic compound binding|GO:0043167: Ion binding|GO:0000287: Magnesium ion binding|GO:0032553: Ribonucleotide binding",,GOCC:0005737: Cytoplasm|GOCC:0110165: Cellular anatomical entity|GOCC:0032991: Protein-containing complex|GOCC:0005829: Cytosol|GOCC:1902494: Catalytic complex|GOCC:0005622: Intracellular
b1702,KW-0067: ATP-binding|KW-0418: Kinase|KW-0479: Metal-binding|KW-0547: Nucleotide-binding|KW-0460: Magnesium|KW-0808: Transferase,GO:0019752: Carboxylic acid metabolic process|GO:0032787: Monocarboxylic acid metabolic process|GO:0006793: Phosphorus metabolic process|GO:0005975: Carbohydrate metabolic process|GO:0006796: Phosphate-containing compound metabolic process|GO:0016310: Phosphorylation|GO:0019319: Hexose biosynthetic process|GO:0009987: Cellular process|GO:0016051: Carbohydrate biosynthetic process|GO:0044281: Small molecule metabolic process|GO:0044238: Primary metabolic process|GO:1901576: Organic substance biosynthetic process|GO:0043436: Oxoacid metabolic process|GO:0008152: Metabolic process|GO:0006082: Organic acid metabolic process|GO:0006094: Gluconeogenesis|GO:0006090: Pyruvate metabolic process|GO:0019318: Hexose metabolic process|GO:0044237: Cellular metabolic process|GO:0071704: Organic substance metabolic process|GO:0044283: Small molecule biosynthetic process|GO:0046364: Monosaccharide biosynthetic process|GO:0006006: Glucose metabolic process|GO:0009058: Biosynthetic process|GO:0005996: Monosaccharide metabolic process,,"CL:2010: Mixed, incl. Carbon metabolism, and Fatty acid metabolic process|CL:2112: Gluconeogenesis, and Glycolysis|CL:2013: Carbon metabolism, and Formate C-acetyltransferase activity|CL:2111: Pentose phosphate pathway, and Gluconeogenesis|CL:2011: Carbon metabolism, and Oxidative phosphorylation|CL:2109: Pentose phosphate pathway, and Glycolysis|CL:2012: Carbon metabolism, and Pyruvate metabolism","GO:0000166: Nucleotide binding|GO:0046872: Metal ion binding|GO:0035639: Purine ribonucleoside triphosphate binding|GO:1901265: Nucleoside phosphate binding|GO:0032555: Purine ribonucleotide binding|GO:0030554: Adenyl nucleotide binding|GO:0003824: Catalytic activity|GO:0016301: Kinase activity|GO:0097159: Organic cyclic compound binding|GO:0043168: Anion binding|GO:0005524: ATP binding|GO:0016740: Transferase activity|GO:0016772: Transferase activity, transferring phosphorus-containing groups|GO:0017076: Purine nucleotide binding|GO:0097367: Carbohydrate derivative binding|GO:0032559: Adenyl ribonucleotide binding|GO:0036094: Small molecule binding|GO:0043169: Cation binding|GO:0005488: Binding|GO:1901363: Heterocyclic compound binding|GO:0043167: Ion binding|GO:0000287: Magnesium ion binding|GO:0032553: Ribonucleotide binding",,
b1723,KW-0067: ATP-binding|KW-0324: Glycolysis|KW-0418: Kinase|KW-0479: Metal-binding|KW-0547: Nucleotide-binding|KW-0460: Magnesium|KW-0808: Transferase,GO:0019752: Carboxylic acid metabolic process|GO:0009150: Purine ribonucleotide metabolic process|GO:0006950: Response to stress|GO:0044262: Cellular carbohydrate metabolic process|GO:0009135: Purine nucleoside diphosphate metabolic process|GO:0032787: Monocarboxylic acid metabolic process|GO:0055086: Nucleobase-containing small molecule metabolic process|GO:0072521: Purine-containing compound metabolic process|GO:0009132: Nucleoside diphosphate metabolic process|GO:0006807: Nitrogen compound metabolic process|GO:0019637: Organophosphate metabolic process|GO:0016052: Carbohydrate catabolic process|GO:0046031: ADP metabolic process|GO:0006793: Phosphorus metabolic process|GO:0005975: Carbohydrate metabolic process|GO:0009199: Ribonucleoside triphosphate metabolic process|GO:0009141: Nucleoside triphosphate metabolic process|GO:0006139: Nucleobase-containing compound metabolic process|GO:0006796: Phosphate-containing compound metabolic process|GO:0016310: Phosphorylation|GO:0006091: Generation of precursor metabolites and energy|GO:0009144: Purine nucleoside triphosphate metabolic process|GO:0006757: ATP generation from ADP|GO:0009987: Cellular process|GO:0046939: Nucleotide phosphorylation|GO:0050896: Response to stimulus|GO:0044281: Small molecule metabolic process|GO:0006165: Nucleoside diphosphate phosphorylation|GO:1901575: Organic substance catabolic process|GO:0046483: Heterocycle metabolic process|GO:0044238: Primary metabolic process|GO:0009205: Purine ribonucleoside triphosphate metabolic process|GO:0043436: Oxoacid metabolic process|GO:0051716: Cellular response to stimulus|GO:0008152: Metabolic process|GO:0006082: Organic acid metabolic process|GO:1901360: Organic cyclic compound metabolic process|GO:0006096: Glycolytic process|GO:0009117: Nucleotide metabolic process|GO:0006753: Nucleoside phosphate metabolic process|GO:0006090: Pyruvate metabolic process|GO:0046034: ATP metabolic process|GO:0044237: Cellular metabolic process|GO:0006163: Purine nucleotide metabolic process|GO:0009179: Purine ribonucleoside diphosphate metabolic process|GO:0009185: Ribonucleoside diphosphate metabolic process|GO:0009056: Catabolic process|GO:1901135: Carbohydrate derivative metabolic process|GO:0019693: Ribose phosphate metabolic process|GO:0071704: Organic substance metabolic process|GO:0006974: Cellular response to DNA damage stimulus|GO:0033554: Cellular response to stress|GO:1901564: Organonitrogen compound metabolic process|GO:0006725: Cellular aromatic compound metabolic process|GO:0034641: Cellular nitrogen compound metabolic process|GO:0009259: Ribonucleotide metabolic process,GO:0005737: Cytoplasm|GO:0005829: Cytosol|GO:0005622: Intracellular anatomical structure|GO:0110165: Cellular anatomical entity,"CL:2010: Mixed, incl. Carbon metabolism, and Fatty acid metabolic process|CL:2112: Gluconeogenesis, and Glycolysis|CL:2135: Mixed, incl. Transaldolase type 1, and Fructose 1,6-bisphosphate 1-phosphatase activity|CL:2013: Carbon metabolism, and Formate C-acetyltransferase activity|CL:2111: Pentose phosphate pathway, and Gluconeogenesis|CL:2011: Carbon metabolism, and Oxidative phosphorylation|CL:2109: Pentose phosphate pathway, and Glycolysis|CL:2012: Carbon metabolism, and Pyruvate metabolism","GO:0000166: Nucleotide binding|GO:0046872: Metal ion binding|GO:0035639: Purine ribonucleoside triphosphate binding|GO:1901265: Nucleoside phosphate binding|GO:0032555: Purine ribonucleotide binding|GO:0030554: Adenyl nucleotide binding|GO:0003824: Catalytic activity|GO:0016301: Kinase activity|GO:0097159: Organic cyclic compound binding|GO:0043168: Anion binding|GO:0005524: ATP binding|GO:0016740: Transferase activity|GO:0016773: Phosphotransferase activity, alcohol group as acceptor|GO:0016772: Transferase activity, transferring phosphorus-containing groups|GO:0017076: Purine nucleotide binding|GO:0097367: Carbohydrate derivative binding|GO:0005515: Protein binding|GO:0032559: Adenyl ribonucleotide binding|GO:0036094: Small molecule binding|GO:0042802: Identical protein binding|GO:0043169: Cation binding|GO:0005488: Binding|GO:1901363: Heterocyclic compound binding|GO:0043167: Ion binding|GO:0000287: Magnesium ion binding|GO:0032553: Ribonucleotide binding",,GOCC:0005622: Intracellular|GOCC:0005737: Cytoplasm|GOCC:0005829: Cytosol|GOCC:0110165: Cellular anatomical entity
